video_id,frame_file,timestamp_sec,label
CAM1,E:\avishkar\smokefire-benchmark\data\frames\CAM1\CAM1_frame_00000000.jpg,0.0,NONE
CAM1,E:\avishkar\smokefire-benchmark\data\frames\CAM1\CAM1_frame_00000375.jpg,15.0,NONE
CAM1,E:\avishkar\smokefire-benchmark\data\frames\CAM1\CAM1_frame_00000750.jpg,30.0,NONE
CAM1,E:\avishkar\smokefire-benchmark\data\frames\CAM1\CAM1_frame_00001125.jpg,45.0,FIRE
CAM2,E:\avishkar\smokefire-benchmark\data\frames\CAM2\CAM2_frame_00000000.jpg,0.0,SMOKE
CAM2,E:\avishkar\smokefire-benchmark\data\frames\CAM2\CAM2_frame_00000450.jpg,15.0,SMOKE
CAM2,E:\avishkar\smokefire-benchmark\data\frames\CAM2\CAM2_frame_00000900.jpg,30.0,SMOKE
CAM3,E:\avishkar\smokefire-benchmark\data\frames\CAM3\CAM3_frame_00000000.jpg,0.0,NONE
CAM3,E:\avishkar\smokefire-benchmark\data\frames\CAM3\CAM3_frame_00000450.jpg,15.02,FIRE
CAM3,E:\avishkar\smokefire-benchmark\data\frames\CAM3\CAM3_frame_00000900.jpg,30.03,FIRE
CAM3,E:\avishkar\smokefire-benchmark\data\frames\CAM3\CAM3_frame_00001350.jpg,45.05,FIRE
CAM3,E:\avishkar\smokefire-benchmark\data\frames\CAM3\CAM3_frame_00001800.jpg,60.06,FIRE
CAM3,E:\avishkar\smokefire-benchmark\data\frames\CAM3\CAM3_frame_00002250.jpg,75.08,FIRE
CAM3,E:\avishkar\smokefire-benchmark\data\frames\CAM3\CAM3_frame_00002700.jpg,90.09,NONE
CAM4,E:\avishkar\smokefire-benchmark\data\frames\CAM4\CAM4_frame_00000000.jpg,0.0,FIRE
CAM4,E:\avishkar\smokefire-benchmark\data\frames\CAM4\CAM4_frame_00000450.jpg,15.0,FIRE
CAM4,E:\avishkar\smokefire-benchmark\data\frames\CAM4\CAM4_frame_00000900.jpg,30.0,FIRE
